"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3DCompilers%2C+Architectures+and+Synthesis+for+Embedded+Systems+.LB.CASES.RB.%2C+2014",2015/06/23 15:21:43
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Energy-efficient VFI-partitioned multicore design using wireless NoC architectures","Kim, R.; Guangshuo Liu; Wettin, P.; Marculescu, R.; Marculescu, D.; Pande, P.P.","Sch. of EECS, Washington State Univ., Pullman, WA, USA","Compilers, Architecture and Synthesis for Embedded Systems (CASES), 2014 International Conference on","20150108","2014","","","1","9","In recent years, multiple Voltage Frequency Island (VFI)-based designs have increasingly made their way into both commercial and research multicore platforms. On the other hand, the wireless Network-on-Chip (WiNoC) architecture has emerged as an energy-efficient and high bandwidth communication backbone for massively integrated multicore platforms. It becomes therefore possible to exploit the small-world effects induced by the wireless links of a WiNoC to achieve efficient inter-VFI data exchanges. In this work, we demonstrate that WiNoCs can provide better latency and energy profiles compared to traditional mesh-like architecture for VFI-partitioned multicore designs. The performance gains and energy efficiency are achieved due to the low-power wireless shortcuts in conjunction with the small-world architecture. Indeed, our experimental results show energy improvements as large as 40% for multithreaded application benchmarks.","","","","10.1145/2656106.2656120","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6972456","NoC, Wireless, Multicore, VFI, low;power","Benchmark testing;Energy efficiency;Multicore processing;Ports (Computers);Routing;Wireless communication","energy conservation;multiprocessing systems;network-on-chip;power aware computing","VFI-based design;commercial multicore platform;energy efficiency;energy-efficient VFI-partitioned multicore design;inter-VFI data exchange;low-power wireless shortcuts;massively integrated multicore platform;multithreaded application benchmark;performance gain;research multicore platform;voltage frequency island;wireless NoC architecture;wireless network-on-chip","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"A high-level model of embedded flash energy consumption","Pallister, J.; Eder, K.; Hollis, S.J.; Bennett, J.","Univ. of Bristol, Bristol, UK","Compilers, Architecture and Synthesis for Embedded Systems (CASES), 2014 International Conference on","20150108","2014","","","1","9","The alignment of code in the flash memory of deeply embedded SoCs can have a large impact on the total energy consumption of a computation. We investigate the effect of code alignment in six SoCs and find that a large proportion of this energy (up to 15% of total SoC energy consumption) can be saved by changes to the alignment. A flexible model is created to predict the read-access energy consumption of flash memory on deeply embedded SoCs, where code is executed in place. This model uses the instruction level memory accesses performed by the processor to calculate the flash energy consumption of a sequence of instructions. We derive the model parameters for five SoCs and validate them. The error is as low as 5%, with a 11% average normalized RMS deviation overall. The scope for using this model to optimize code alignment is explored across a range of benchmarks and SoCs. Analysis shows that over 30% of loops can be better aligned. This can significantly reduce energy while increasing code size by less than 4%. We conclude that this effect has potential as an effective optimization, saving significant energy in deeply embedded SoCs.","","","","10.1145/2656106.2656108","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6972473","","Ash;Energy consumption;Memory management;Nonvolatile memory;Optimization;Random access memory;System-on-chip","embedded systems;energy consumption;flash memories;system-on-chip","RMS deviation;code alignment;deeply embedded SoC;embedded flash energy consumption;energy proportion;flash memory;instruction level memory access;root mean square deviation;system-on-chip","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"A low-cost memory interface for high-throughput accelerators","Jing Huang; Yuanjie Huang; Temam, O.; Ienne, P.; Yunji Chen; Chengyong Wu","State Key Lab. of Comput. Archit., Inst. of Comput. Technol., Beijing, China","Compilers, Architecture and Synthesis for Embedded Systems (CASES), 2014 International Conference on","20150108","2014","","","1","10","Heterogeneous multi-cores, a mix of cores and accelerators, are becoming prevalent. These accelerators are designed for both speed and energy improvements, and thus, they increasingly come with a large number of load/store ports for achieving a high degree of parallelism. However, beyond GPG-PUs, accelerators such as ASICs and CGRAs are increasingly capable of accelerating computations with irregular control flow and memory accesses; as a result, such accelerators need to be plugged to caches instead of scratchpads, and few studies focus on accelerator-to-cache interfaces. The main existing alternative are Load/Store Queues (LSQs) traditionally used to connect superscalar processors to caches and memory, but in the context of accelerators, they are overkill and could significantly reduce the area and power benefits of accelerators. Moreover, we show that they are just not fit for accelerators plugged to multi-banked caches. In this article, we propose a fast accelerator-to-cache interface with a moderate area and power footprint compared to LSQs, even for a large number of load/store ports. For that purpose, we introduce a set of low-overhead techniques for ensuring in-order delivery of requests to/from cache banks. We synthesize and layout at 65nm the design of both our interface and an LSQ specially adapted to accelerators for a fair comparison. We find that our interface achieves on average 78% of the performance of an LSQ using only 16% of the area and 24% of the power.","","","","10.1145/2656106.2656109","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6972464","","Acceleration;Application specific integrated circuits;Computer architecture;Layout;Out of order;Ports (Computers)","application specific integrated circuits;cache storage;graphics processing units;integrated circuit design;multiprocessing systems","ASIC;CGRA;GPG-PU;LSQ;accelerator-to-cache interfaces;cache banks;control flow;heterogeneous multicores;high-throughput accelerators;load-store queues;memory accesses;memory interface;multibanked caches;superscalar processors","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"Reducing cache leakage energy for hybrid SPM-cache architectures","Hao Wen; Wei Zhang","Dept. of Electr. & Comput. Eng., Virginia Commonwealth Univ., Richmond, VA, USA","Compilers, Architecture and Synthesis for Embedded Systems (CASES), 2014 International Conference on","20150108","2014","","","1","9","In this paper, we study how to reduce the cache leakage energy efficiently in a hybrid SPM (Scratch-Pad Memory) and cache architecture. Since SPM can reduce the access frequency to the cache, we find it is possible to place the cache lines of the hybrid SPM-cache into the low power mode more aggressively than traditional leakage management for regular caches, which can reduce more leakage energy without significant performance degradation. Also, we propose a Hybrid Drowsy-Gated Vdd (HDG) technique, which can adaptively exploit both short and long idle intervals to minimize leakage energy with insignificant performance overhead.","","","","10.1145/2656106.2656124","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6972474","Pad Memory (SPM);Scratch;cache;cache decay;drowsy cache;leakage energy","Computer architecture;Degradation;Logic gates;Program processors;Radiation detectors;Resource management;Switches","cache storage;low-power electronics;memory architecture;power aware computing","HDG technique;access frequency;cache leakage energy reduction;cache lines;hybrid SPM-cache architectures;hybrid drowsy-gated Vdd;idle intervals;leakage management;low power mode;scratch-pad memory","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"AdaPNet: Adapting process networks in response to resource variations","Schor, L.; Bacivarov, I.; Hoeseok Yang; Thiele, L.","Comput. Eng. & Networks Lab., ETH Zurich, Zurich, Switzerland","Compilers, Architecture and Synthesis for Embedded Systems (CASES), 2014 International Conference on","20150108","2014","","","1","10","A widely considered strategy to prevent interference issues on multi-processor systems is to isolate the execution of the individual applications by running each of them on a dedicated virtual guest machine. The amount of computing power available to a single application, however, depends on the other applications running on the system and may change over time. A promising approach to maximize the performance under such conditions is to adapt the application's degree of parallelism when the resources allocated to the application are changed. This enables an application to exploit not more parallelism than required, thereby reducing inter-process communication and scheduling overheads. In this paper, we introduce AdaPNet, a run-time system to execute streaming applications, which are modeled as process networks, efficiently on platforms with dynamic resource al-location. AdaPNet responds to changes in the available resources by first calculating a process network that maximizes the performance of the application on the new resources. Then, AdaPNet transparently transforms the application into the alternative network without discarding the program state. Targeting two many-core systems, we demonstrate that AdaPNet outperforms comparable run-time systems, which do not adapt the degree of parallelism, in terms of speed-up and memory usage.","","","","10.1145/2656106.2656112","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6972475","Streaming applications;multi-processor systems;optimization;process networks;run-time adaptivity","Contracts;Fires;Parallel processing;Radiation detectors;Resource management;Throughput;Transforms","media streaming;multiprocessing systems;parallel processing;resource allocation","AdaPNet;adaptive runtime system;dynamic resource allocation;many-core systems;parallelism degree;process networks;streaming applications","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"A compiler framework for automatically mapping data parallel programs to heterogeneous MPSoCs","Chandramohan, K.; O'Boyle, M.F.P.","Sch. of Inf., Univ. of Edinburgh, Edinburgh, UK","Compilers, Architecture and Synthesis for Embedded Systems (CASES), 2014 International Conference on","20150108","2014","","","1","10","Many of today's embedded devices are based on MultiProcessor System-on-Chips(MPSoCs) Such devices are usually heterogeneous, containing DSPs and specialized accelerators as well as one or more CPUs. This heterogeneity allows efficient implementations in specialized domains but is a barrier to their wider use. They are difficult to program as only the CPU is directly exposed to the programmer with access to other resources restricted to narrow library interfaces. This paper enables the exploitation of heterogeneous resources from a high level parallel programming model. It presents an LLVM based compiler that maps OpenMP programs to the underlying heterogeneous cores using an SPMD model of computation. It partitions data and computation across the cores, managing synchronization and memory coherence across different memory domains and operating systems. We evaluate its performance on the OMAP4 MPSoC on a range of data parallel benchmarks. On average it gives a 2.75x speedup over using the low-level library approach. Further-more, it gives a speedup of 1.38x and an improved energy efficiency of 1.4x over using the two A9 cores alone.","","","","10.1145/2656106.2656107","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6972462","Compiler, SPMD, data;heterogeneous processors;parallel","Arrays;Computational modeling;Digital signal processing;Instruction sets;Programming;Synchronization","high level languages;multiprocessing systems;parallel programming;program compilers;synchronisation;system-on-chip","A9 cores;LLVM based compiler;OMAP4 MPSoC;Open Multimedia Applications Platform(OMAP);OpenMP programs;SPMD model;Single Program Multiple Data;compiler framework;data parallel benchmarks;data parallel program mapping;energy efficiency;heterogeneous MPSoCs;heterogeneous cores;high level parallel programming model;memory coherence;multiprocessor system-on-chips;operating systems;synchronization","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"Construction of GCCFG for inter-procedural optimizations in Software Managed Manycore (SMM) architectures","Holton, B.; Bai, K.; Shrivastava, A.; Ramaprasad, H.","Arizona State Univ., Tempe, AZ, USA","Compilers, Architecture and Synthesis for Embedded Systems (CASES), 2014 International Conference on","20150108","2014","","","1","10","Software Managed Manycore (SMM) architectures - in which each core has only a scratch pad memory (instead of caches), - are a promising solution for scaling memory hierarchy to hundreds of cores. However, in these architectures, the code and data of the tasks mapped to the cores must be explicitly managed in the software by the compiler. State-of-the-art compiler techniques for SMM architectures require inter-procedural information and analysis. A call graph of the program does not have enough information, and Global CFG, i.e., combining all the control flow graphs of the program has too much information, and becomes too big. As a result, most new techniques have informally defined and used GCCFG (Global Call Control Flow Graph) - a whole program representation which captures the control-flow as well as function call information in a succinct way - to perform inter-procedural analysis. However, how to construct it has not been shown yet. We find that for several simple call and control flow graphs, constructing GCCFG is relatively straightforward, but there are several cases in common applications where unique graph transformation is needed in order to formally and correctly construct the GCCFG. This paper fills this gap, and develops graph transformations to allow the construction of GCCFG in (almost) all cases. Our experiments show that by using succinct representation (GCCFG) rather than elaborate representation (GlobaICFG) the compilation time of state-of-the-art code management technique [4] can be improved by an average of 5X, and that of stack management [20] can be improved by an average of 4X.","","","","10.1145/2656106.2656122","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6972471","","Abstracts;Computer architecture;Data mining;Flow graphs;Optimization;Program processors","flow graphs;memory architecture;multiprocessing systems;optimisation","GCCFG;Global Call Control Flow Graph;SMM architectures;call graph;compiler techniques;interprocedural optimizations;memory hierarchy scaling;scratch pad memory;software managed manycore architectures","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"Heuristics for greedy transport triggered architecture interconnect exploration","Viitanen, T.; Kultala, H.; Jaaskelainen, P.; Takala, J.","Dept. of Pervasive Comput., Tampere Univ. of Technol., Tampere, Finland","Compilers, Architecture and Synthesis for Embedded Systems (CASES), 2014 International Conference on","20150108","2014","","","1","7","Most power dissipation in Very Large Instruction Word (VLIW) processors occurs in their large, multi-port register files. Transport Triggered Architecture (TTA) is a VLIW variant whose exposed datapath reduces the need for RF accesses and ports. However, the comparative advantage of TTAs suffers in practice from a wide instruction word and complex interconnection network (IC). We argue that these issues are at least partly due to suboptimal design choices. The design space of possible TTA architectures is very large, and previous automated and ad-hoc design methods often produce inefficient architectures. We propose a reduced design space where efficient TTAs can be generated in a short time using excecution trace-driven greedy exploration. The proposed approach is evaluated by optimizing the equivalent of a 4-issue VLIW architecture. The algorithm finishes quickly and produces a processor with 10% reduced core energy product compared to a fully-connected TTA. Since the generated processor has low IC power and a shorter instruction word than a typical 4-issue VLIW, the results support the hypothesis that these drawbacks of TTA can be worked around with efficient IC design.","","","","10.1145/2656106.2656123","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6972455","TTA;VLIW;design space exploration;port sharing","Benchmark testing;Computer architecture;Integrated circuits;Ports (Computers);Program processors;Radio frequency;VLIW","greedy algorithms;instruction sets;multiprocessor interconnection networks;parallel architectures","IC design;IC power;RF accesses;TTA;VLIW processors;ad-hoc design methods;automated design methods;complex interconnection network;datapath;design space;excecution trace-driven greedy exploration;greedy transport triggered architecture interconnect exploration;heuristics;large multiport register files;ports;power dissipation;reduced core energy product;very large instruction word processors","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"A system-level simulation framework for evaluating task migration in MPSoCs","Wei Quan; Pimentel, A.D.","Inf. Inst. Univ. of Amsterdam The Netherlands, Amsterdam, Netherlands","Compilers, Architecture and Synthesis for Embedded Systems (CASES), 2014 International Conference on","20150108","2014","","","1","9","Task migration is the transfer of the execution of a process (task) from one processing element to another. It originates from the massive deployment of distributed systems in the parallel computing field to enable dynamic load distribution, fault resilience and to enhance data access locality. With the development of MultiProcessor System-on-Chip (MPSoC) architectures, the topic of task migration has recently regained research interest in the embedded systems domain. In this paper, we present a high-level simulation framework to study task migration for MPSoC systems. With this framework, different migration methodologies on different underlying hardware systems can be easily and rapidly modeled, simulated and evaluated during the early stages of design. By using this high-level simulation framework, a designer can study the migration impact on the overall performance of the system by exploring different task migration mechanisms (determining what and how to migrate) or using different migration policies (determining when to migrate which tasks whereto) in a specific task migration mechanism. Using a number of experiments, we demonstrate the capabilities of our simulation framework.","","","","10.1145/2656106.2656111","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6972466","Embedded systems;MPSoC;simulation;task migration","Communication channels;Computational modeling;Computer architecture;Context;Hardware;Load modeling;Program processors","digital simulation;embedded systems;multiprocessing systems;system-on-chip","MPSoC architectures;embedded systems;multiprocessor system-on-chip;system-level simulation framework;task migration evaluation","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"Team up: Cooperative memory management in embedded systems","Stilkerich, I.; Taffner, P.; Erhardt, C.; Dietrich, C.; Wawersich, C.; Stilkerich, M.","Friedrich-Alexander Univ., Erlangen-Nuremberg, Germany","Compilers, Architecture and Synthesis for Embedded Systems (CASES), 2014 International Conference on","20150108","2014","","","1","10","The use of a managed, type-safe languages such as Java in realtime and embedded systems can offer productivity and, in particular, safety and dependability benefits over the dominating unsafe languages at reasonable costs. A JVM that has dynamic memory-management needs to provide an implicit memory-management strategy, that is, for example, a garbage collector (GC) or stack allocation provided by the escape analysis of the JVM's compiler: Explicit management of dynamically allocated memory (i.e., by use of functions such as C's malloc () and free()) is vulnerable to programming errors such as neglected or false memory release operations causing memory leaks or dangling pointers. Such operations have the potential to break the soundness of the type system and are therefore usually not available for strongly typed languages. Type-safe languages in combination with static analyses - which respect hardware as well as system-specific information - can efficiently be employed to provide a runtime system including memory management (MM) that is specifically suited to an embedded application on a particular hardware device. In the context of this paper, we present novel memory-management strategy we implemented in our KESO JVM. It is a latency-aware garbage-collection algorithm called LAGC. Also, we introduce the static analyses that can assist LAGC. The application developers have to ensure that there is enough time for the GCs to run. Hardware characteristics such as soft-error proneness of the hardware or the memory layout can also be taken into consideration as demanded by the system configuration. This is achieved by integrating the GCs in the design process of the whole system just as any other user application, which is the reason why this approach is called cooperative memory management. The suggested strategies require reasonably low overhead.","","","","10.1145/2656106.2656129","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6972463","Design;Garbage Collection;General Terms Memory Management;Languages","Embedded systems;Hardware;Java;Memory management;Random access memory;Resource management;Runtime","Java;program compilers;program diagnostics;storage management","JVM compiler;Java;KESO JVM;LAGC;cooperative memory management;dynamic memory-management;embedded system;latency-aware garbage-collection algorithm;soft-error proneness;stack allocation;static analysis;type-safe language","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"Auto-parallelization of data structure operations for GPUs","Nasre, R.","IIT Madras, Chennai, India","Compilers, Architecture and Synthesis for Embedded Systems (CASES), 2014 International Conference on","20150108","2014","","","1","10","We present an auto-parallelization technique for generating GPU implementation of data-structure operations from a sequential specification. The technique partitions the data-structure operations into barrier-separated phases such that each phase executes only homogeneous operations. Homogeneity is dictated by the method type, which is derived from the specification. Two key aspects of our technique are: (i) it ensures linearizability of the data-structure, and (ii) it is capable of composing multiple data-structure operations with the guarantee of optimal barrier placement, which we formally prove. We illustrate the usefulness of our techniques by synthesizing efficient GPU implementations of practical graph algorithms like single-source shortest paths which uses a concurrent worklist, Delaunay mesh refinement that uses a worklist and a mesh, and a doubly linked-list supporting arbitrary insertion and deletion.","","","","10.1145/2656106.2656115","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6972460","Auto;GPGPU;data structures;parallelization","Data structures;Graphics processing units;Instruction sets;Kernel;Libraries;Synchronization;Synthesizers","data structures;graphics processing units;parallel processing","Delaunay mesh refinement;GPU;auto-parallelization technique;barrier-separated phase;concurrent worklist;data structure operation;doubly linked-list supporting arbitrary deletion;doubly linked-list supporting arbitrary insertion;graphics processing unit;homogeneous operation;optimal barrier placement;sequential specification","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"SDCTune: A model for predicting the SDC proneness of an application for configurable protection","Qining Lu; Pattabiraman, K.; Gupta, M.S.; Rivers, J.A.","","Compilers, Architecture and Synthesis for Embedded Systems (CASES), 2014 International Conference on","20150108","2014","","","1","10","Silent Data Corruption (SDC) is a serious reliability issue in many domains, including embedded systems. However, current protection techniques are brittle, and do not allow programmers to trade off performance for SDC coverage. Further, many of them require tens of thousands of fault injection experiments, which are highly time-intensive. In this paper, we propose an empirical model to predict the SDC proneness of a program's data called SDCTune. SDCTune is based on static and dynamic features of the program alone, and does not require fault injections to be performed. We then develop an algorithm using SDCTune to selectively protect the most SDC-prone data in the program subject to a given performance overhead bound. Our results show that our technique is highly accurate at predicting the relative SDC rate of an application, and outperforms full duplication by a factor of 0.83 to 1.87x in efficiency of detection (i.e., ratio of SDC coverage provided to performance overhead).","","","","10.1145/2656106.2656127","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6972476","Compiler;Modeling;Reliability","Benchmark testing;Computer crashes;Detectors;Hardware;Registers;Reliability;Transient analysis","data protection;embedded systems;fault tolerant computing;performance evaluation","SDC coverage;SDC proneness prediction;SDC rate;SDC-prone data;SDCTune;configurable protection;dynamic features;embedded systems;performance overhead bound;reliability issue;silent data corruption;static features","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
